ensembl_gene_id;gene_symbol
ENSRNOG00000033299;Mt-atp8
ENSRNOG00000031979;Mt-atp6
ENSRNOG00000030700;Mt-co3
ENSRNOG00000030371;Mt-co2
ENSRNOG00000034234;Mt-co1
ENSRNOG00000033615;Mt-nd3
ENSRNOG00000030644;Mt-nd1
ENSRNOG00000031766;Mt-cyb
ENSRNOG00000031033;Mt-nd2
ENSRNOG00000030478;AY172581.9
ENSRNOG00000004196;LOC108350501
ENSRNOG00000018454;Apoe
ENSRNOG00000043866;AY172581.24
ENSRNOG00000005195;Cst3
ENSRNOG00000018958;Mt3
ENSRNOG00000031053;Mt-nd4l
ENSRNOG00000022619;Fth1
ENSRNOG00000016322;Camk2n1
ENSRNOG00000001170;Cox6a1
ENSRNOG00000047931;Tmsb4x
ENSRNOG00000029042;Mt-nd6
ENSRNOG00000016516;Mbp
ENSRNOG00000010688;Nrgn
ENSRNOG00000014272;Rpl35
ENSRNOG00000027864;Ppia
ENSRNOG00000016580;Rps23
ENSRNOG00000052802;Aldoa
ENSRNOG00000042233;Rpl41
ENSRNOG00000030237;Cox7c
ENSRNOG00000021177;Cox8a
ENSRNOG00000018630;LOC108351137
ENSRNOG00000000064;Atp5me
ENSRNOG00000015550;Ptgds
ENSRNOG00000013874;Rplp1
ENSRNOG00000042499;LOC100364435
ENSRNOG00000048682;Zwint
ENSRNOG00000002343;Uchl1
ENSRNOG00000016952;Uqcr11
ENSRNOG00000024603;Rps15
ENSRNOG00000017817;Cox4i1
ENSRNOG00000018774;Rps14
ENSRNOG00000016961;Rps27
ENSRNOG00000010872;Ckb
ENSRNOG00000020674;Rpl27
ENSRNOG00000020660;Cfl1
ENSRNOG00000029971;Mt-nd5
ENSRNOG00000010807;Cox6c
ENSRNOG00000052025;Aes
ENSRNOG00000001295;S100b
ENSRNOG00000019974;Uba52
ENSRNOG00000016810;Stmn1
ENSRNOG00000060098;Ptms
ENSRNOG00000042271;Ubb
ENSRNOG00000006037;Snap25
ENSRNOG00000006542;Atp6v0c
ENSRNOG00000027049;Atp5mf
ENSRNOG00000001628;Pcp4
ENSRNOG00000023344;Rpl23a
ENSRNOG00000004060;Calm2
ENSRNOG00000009862;Olfm1
ENSRNOG00000009439;Eef1a1
ENSRNOG00000019321;Cck
ENSRNOG00000042886;Rps28
ENSRNOG00000018795;Rpl18a
ENSRNOG00000055471;Ywhah
ENSRNOG00000013300;Atp5if1
ENSRNOG00000013657;Stmn3
ENSRNOG00000001057;Ctxn1
ENSRNOG00000062298;Rpl13a
ENSRNOG00000002840;Atp5f1b
ENSRNOG00000049912;Atp5f1e
ENSRNOG00000028505;Rps18l1
ENSRNOG00000016770;Calm1
ENSRNOG00000042903;Cox7a2l2
