"geneID","gene.name","mean.log2.pfkm","fdr.hemisphere","fdr.treatment","fdr.interaction"
"ENSRNOG00000000001","AABR07013255.1",0.375106967647776,NA,NA,NA
"ENSRNOG00000000007","Gad1",6.36369990424093,0.823515469547758,0.5202846767638,0.999999999999993
"ENSRNOG00000000008","Alx4",0.228290803282093,NA,NA,NA
"ENSRNOG00000000009","Tmco5b",0.020060943447336,NA,NA,NA
"ENSRNOG00000000010","Cbln1",2.50605963397707,0.823515469547758,0.883684993650566,0.999999999999993
"ENSRNOG00000000012","Tcf15",2.32237731184105,0.875398161333436,0.41593577395296,0.999999999999993
"ENSRNOG00000000017","Steap1",0.333902459654665,NA,NA,NA
"ENSRNOG00000000021","AABR07061902.1",2.93993242732698,0.83734750815323,0.498651494499675,0.999999999999993
"ENSRNOG00000000024","Hebp1",5.53547693387338,0.823515469547758,0.46000445199397,0.999999999999993
"ENSRNOG00000000033","Tmcc2",6.23812406315148,0.823515469547758,0.874622224151949,0.999999999999993
"ENSRNOG00000000034","Nuak2",1.04886820509755,0.829109175032448,0.89594330640422,0.999999999999993
"ENSRNOG00000000035","Tmed11",0.0170416532905321,NA,NA,NA
"ENSRNOG00000000036","Klhdc8a",3.60181884902229,0.823515469547758,0.663821631548914,0.999999999999993
"ENSRNOG00000000040","RGD1304622",1.6542123938537,0.925706415750547,0.421813188663186,0.999999999999993
"ENSRNOG00000000041","Slc26a1",0.901088462502426,NA,NA,NA
"ENSRNOG00000000042","Xpr1",2.48098935666126,0.841789405680301,0.57754347247446,0.999999999999993
"ENSRNOG00000000043","Idua",2.71877420473887,0.823515469547758,0.634853434661016,0.999999999999993
"ENSRNOG00000000044","Tmem175",4.0910996978949,0.968940357541826,0.761588368013462,0.999999999999993
"ENSRNOG00000000047","Cd82",4.68959495520154,0.823515469547758,0.945037394055977,0.999999999999993
"ENSRNOG00000000048","Gak",4.41791233574074,0.846298316476698,0.856796425950433,0.999999999999993
"ENSRNOG00000000053","Crp",0.00351831635135551,NA,NA,NA
"ENSRNOG00000000054","Abhd8",8.32476218042243,0.903491203493728,0.15854800131706,0.999999999999993
"ENSRNOG00000000055","Fcrl6",0,NA,NA,NA
"ENSRNOG00000000060","Cplx1",8.66139850747829,0.823515469547758,0.980689688929407,0.999999999999993
"ENSRNOG00000000062","Pcgf3",2.99483553991934,0.965741503656944,0.854687740788926,0.999999999999993
"ENSRNOG00000000064","Atp5me",11.297540901712,0.823515469547758,0.764715970734067,0.999999999999993
"ENSRNOG00000000065","Pde6b",0.06329146929041,NA,NA,NA
"ENSRNOG00000000066","Fbxo28",3.49553059517823,0.907668783797131,0.925973967414726,0.999999999999993
"ENSRNOG00000000068","Ppp2r5a",4.71810642570487,0.823515469547758,0.96462301671449,0.999999999999993
"ENSRNOG00000000070","Dr1",1.30214765348701,0.823515469547758,0.272091328311836,0.999999999999993
"ENSRNOG00000000073","Tmed5",1.98784762960878,0.885733812396268,0.469302818710424,0.999999999999993
"ENSRNOG00000000075","Mtf2",2.08356536187876,0.8712952704837,0.64992453630887,0.999999999999993
"ENSRNOG00000000081","Antxr2",0.463442707208255,NA,NA,NA
"ENSRNOG00000000082","Hltf",2.44355619167649,0.84114141757421,0.42866099230565,0.999999999999993
"ENSRNOG00000000091","LOC103691556",0.046965788143414,NA,NA,NA
"ENSRNOG00000000095","Gpr89b",3.59654453845886,0.948146114918407,0.103152176437724,0.999999999999993
"ENSRNOG00000000096","Pdzk1",0.574378025812805,NA,NA,NA
"ENSRNOG00000000097","Cd160",0,NA,NA,NA
"ENSRNOG00000000098","Rnf115",5.21438015012194,0.823515469547758,0.494729879427142,0.999999999999993
"ENSRNOG00000000104","Thoc3",4.2388295884006,0.823515469547758,0.832111539646117,0.999999999999993
"ENSRNOG00000000105","Cplx2",8.35969487341426,0.833143255236653,0.534036637515153,0.999999999999993
"ENSRNOG00000000108","Aga",3.92845008479607,0.824901854010296,0.500559840476197,0.999999999999993
"ENSRNOG00000000109","Fgf20",0.0963924068925414,NA,NA,NA
"ENSRNOG00000000111","Coprs",6.37243014189401,0.823515469547758,0.736464298708131,0.999999999999993
"ENSRNOG00000000112","Champ1",3.06493410013448,0.904357362326827,0.928635546982082,0.999999999999993
"ENSRNOG00000000113","Elac1",1.88626847698838,0.824901854010296,0.593144754598728,0.999999999999993
"ENSRNOG00000000121","Pigv",1.33380034615437,0.978315180207971,0.965184823360525,0.999999999999993
"ENSRNOG00000000122","Ak2",3.56103951975927,0.827493885762011,0.908033030973916,0.999999999999993
"ENSRNOG00000000123","Rnf19b",4.32741243667045,0.823515469547758,0.489348512892957,0.999999999999993
"ENSRNOG00000000124","AABR07065970.1",0,NA,NA,NA
"ENSRNOG00000000127","Kpna6",3.44881444271996,0.828337965534472,0.699085507153124,0.999999999999993
"ENSRNOG00000000129","Phf24",5.20686419802797,0.823515469547758,0.673797186835574,0.999999999999993
"ENSRNOG00000000130","Dnajb5",5.99883479631778,0.823515469547758,0.147545166139637,0.999999999999993
"ENSRNOG00000000133","Txndc15",4.90330181491252,0.823515469547758,0.831644227095051,0.999999999999993
"ENSRNOG00000000137","Ly86",2.19812708207746,0.875398161333436,0.850172813025822,0.999999999999993
"ENSRNOG00000000138","Glis1",0.274288709288564,NA,NA,NA
"ENSRNOG00000000142","Plxdc2",3.09597927181924,0.823515469547758,0.891072911372011,0.999999999999993
"ENSRNOG00000000145","Pik3r3",2.07205890469228,0.847937594905868,0.645259525964904,0.999999999999993
"ENSRNOG00000000150","Dnajc1",2.86607696054265,0.925960401293657,0.374221607061944,0.999999999999993
"ENSRNOG00000000151","Ldlrap1",1.49290186065875,0.848239531813034,0.86859392695935,0.999999999999993
"ENSRNOG00000000155","Cog3",2.19525013522304,0.823515469547758,0.503880564252405,0.999999999999993
"ENSRNOG00000000156","LOC100911486",0.425563864359889,NA,NA,NA
"ENSRNOG00000000157","Atg12",5.27818286604926,0.996933340136887,0.418013649765961,0.999999999999993
"ENSRNOG00000000158","Cdo1",5.71253860269032,0.823515469547758,0.689623723881648,0.999999999999993
"ENSRNOG00000000161","Chm",1.91509710487978,0.964734901859895,0.457434701656877,0.999999999999993
"ENSRNOG00000000164","Lamp2",5.66056661444317,0.823515469547758,0.827884690498937,0.999999999999993
"ENSRNOG00000000165","Pfkfb1",0.0773081211371031,NA,NA,NA
"ENSRNOG00000000166","Apex2",1.98485337364995,0.823515469547758,0.559401277342501,0.999999999999993
"ENSRNOG00000000167","Alas2",0.819689936762417,NA,NA,NA
"ENSRNOG00000000168","Gatm",6.31804734706533,0.941194855381393,0.466093614273543,0.999999999999993
"ENSRNOG00000000169","Spata5l1",1.57114447250074,0.991141308325743,0.483928243132471,0.999999999999993
"ENSRNOG00000000170","Slc30a4",3.56839839418226,0.830727326888961,0.635570214560105,0.999999999999993
"ENSRNOG00000000172","Sqor",2.70905817184676,0.823515469547758,0.793073392441239,0.999999999999993
"ENSRNOG00000000175","Mier2",3.56899554059735,0.941397741895391,0.255726157356079,0.999999999999993
"ENSRNOG00000000177","Plpp2",2.31840188874891,0.824901854010296,0.949237830305506,0.999999999999993
"ENSRNOG00000000184","Tmprss6",0.0162958783679133,NA,NA,NA
"ENSRNOG00000000185","Mpst",4.89120664893841,0.823515469547758,0.734574953807223,0.999999999999993
"ENSRNOG00000000186","Tst",6.32566433194198,0.824778455139227,0.540661120374936,0.999999999999993
"ENSRNOG00000000187","Csf2rb",0.295881720970561,NA,NA,NA
"ENSRNOG00000000190","AABR07058539.1",1.01325955195334,0.823515469547758,0.728851363701857,0.999999999999993
"ENSRNOG00000000195","LOC108348048",0.219798943238992,NA,NA,NA
"ENSRNOG00000000196","Cyp19a1",0.349502687501083,NA,NA,NA
"ENSRNOG00000000199","Dppa5",0,NA,NA,NA
"ENSRNOG00000000201","Gsta5",0,NA,NA,NA
"ENSRNOG00000000204","Syncrip",3.19158745458305,0.825350686476718,0.669811500058885,0.999999999999993
"ENSRNOG00000000219","Ano10",4.14691353788659,0.846462515667909,0.61708562478308,0.999999999999993
"ENSRNOG00000000221","Abhd5",2.87190912870906,0.823515469547758,0.959470925927705,0.999999999999993
"ENSRNOG00000000230","Lmf1",3.13958585354125,0.974277048363306,0.442985715989866,0.999999999999993
"ENSRNOG00000000231","Kctd17",6.88101732873472,0.823515469547758,0.632337772113424,0.999999999999993
"ENSRNOG00000000233","Grm6",0.358187500725665,NA,NA,NA
"ENSRNOG00000000236","Zfp207",4.8823263214275,0.872527313814715,0.499653764948374,0.999999999999993
"ENSRNOG00000000237","RGD1310429",2.60739097745467,0.823875025564177,0.728355885831534,0.999999999999993
"ENSRNOG00000000239","Ccl7",0.201550505378644,NA,NA,NA
"ENSRNOG00000000244","Coil",2.73280785327141,0.823515469547758,0.83500497671819,0.999999999999993
